,total_meja,diam_top_in_cm,stem_diam_bottom_in_cm,tip_of_stem_broken,main_stem_length_in_cm
950,2,0.18,0.73,0,99.0
1053,2,0.57,0.62,1,55.0
275,17,0.27,0.44,1,34.0
806,0,0.18,0.65,0,77.0
1023,4,0.34,0.5,1,44.0
182,1,0.09,0.83,1,77.0
32,11,0.16,0.61,1,35.0
80,0,0.1,0.48,0,61.0
307,0,0.18,0.2,0,16.5
770,5,0.18,0.52,0,58.0
11,16,0.25,0.51,1,45.0
872,16,0.18,0.36,0,34.0
43,7,0.12,0.55,1,33.0
86,4,0.06,0.5,0,67.0
778,1,0.18,0.49,0,68.0
36,7,0.15,0.36,0,27.0
1056,0,0.65,0.76,1,48.0
58,0,0.04,0.4,0,101.0
41,10,0.17,0.4,1,30.0
782,4,0.18,0.69,0,57.0
411,0,0.18,0.22,0,10.0
562,0,0.18,0.9,1,78.0
209,11,0.17,0.67,0,41.5
148,0,0.03,0.22,0,36.0
739,0,0.18,0.47,0,73.0
594,0,0.18,0.25,1,14.0
123,3,0.07,0.29,0,40.0
734,0,0.18,0.7,0,92.0
931,9,0.18,0.51,0,84.0
574,0,0.18,0.39,1,46.0
98,0,0.17,0.41,1,60.0
377,0,0.18,0.23,0,8.5
130,0,0.06,0.38,1,54.0
699,1,0.18,0.38,0,43.0
23,21,0.16,0.43,0,31.0
946,2,0.18,0.85,1,93.0
555,0,0.18,0.77,1,70.0
370,0,0.18,0.3,0,20.0
906,62,0.18,0.79,0,106.0
512,0,0.18,0.34,1,41.0
383,0,0.18,0.24,0,11.0
201,16,0.27,0.76,1,62.0
917,4,0.18,0.42,0,38.0
368,0,0.18,0.32,0,15.5
554,0,0.18,0.65,1,66.0
610,0,0.18,0.53,1,44.0
387,0,0.18,0.2,0,11.0
861,3,0.18,0.65,0,111.0
816,6,0.18,0.6,0,81.0
930,13,0.18,0.5,0,48.0
292,8,0.21,0.59,1,39.0
690,0,0.18,0.63,0,81.0
881,8,0.18,0.63,0,53.0
256,27,0.17,0.64,1,54.0
606,0,0.18,0.65,1,66.0
197,0,0.08,0.32,1,57.0
